2024-11-29 10:29:17; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; REST call; http://localhost:8000/transfer/ex; start; user-dfee56a8
2024-11-29 10:29:17; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; REST call; http://localhost:8000/transfer/ex; 225; user-dfee56a8
2024-11-29 10:29:17; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; Service; TransferService_initiateTransfer; 244
2024-11-29 10:29:17; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; Controller; TransferController_transfer; 263
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Controller; QuickController_getItem; start
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Service; QuickService_getItemById; start
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Mapper; $Proxy216_findById; start
2024-11-29 10:30:27; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; SQL; SELECT * FROM item WHERE id = ?; 1
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Mapper; $Proxy216_findById; 23
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Service; QuickService_getItemById; 43
2024-11-29 10:30:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; aaf7458f-279b-4b34-8174-3176dcaa1981; Controller; QuickController_getItem; 66
2024-11-29 10:30:31; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; Controller; TransferController_transfer; start
2024-11-29 10:30:31; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; 7902470d-e23a-4a3e-94b7-e5df776f8fe8; Service; TransferService_initiateTransfer; start
